id|points
E14000715|[[1.0091249980130372, 67.30638582105846], [1.0981225918752886, 67.46053516716313], [1.2761219417725689, 67.46053516716313], [1.365120535211747, 67.30638582105846], [1.2761219417725689, 67.15223406613714], [1.0981225918752886, 67.15223406613714], [1.0091249980130372, 67.30638582105846]]
E14000626|[[1.0091249980130372, 66.95038766201863], [1.0981225918752886, 67.10453941693993], [1.2761219417725689, 67.10453941693993], [1.365120535211747, 66.95038766201863], [1.2761219417725689, 66.79623585793802], [1.0981225918752886, 66.79623585793802], [1.0091249980130372, 66.95038766201863]]
E14000804|[[1.0091249980130372, 66.59439235423103], [1.0981225918752886, 66.74854212638473], [1.2761219417725689, 66.74854212638473], [1.365120535211747, 66.59439235423103], [1.2761219417725689, 66.44024036989865], [1.0981225918752886, 66.44024036989865], [1.0091249980130372, 66.59439235423103]]
E14000735|[[1.0091249980130372, 66.2383940804856], [1.0981225918752886, 66.39254599927197], [1.2761219417725689, 66.39254599927197], [1.365120535211747, 66.2383940804856], [1.2761219417725689, 66.0842422108588], [1.0981225918752886, 66.0842422108588], [1.0091249980130372, 66.2383940804856]]
E14000603|[[0.7065267455387348, 69.97636064981444], [0.7955251095668273, 70.13051247028163], [0.9735245577831473, 70.13051247028163], [1.0625221188723761, 69.97636064981444], [0.9735245577831473, 69.82221017304104], [0.7955251095668273, 69.82221017304104], [0.7065267455387348, 69.97636064981444]]
E14000624|[[0.7065267455387348, 69.62036501429674], [0.7955251095668273, 69.77451504863467], [0.9735245577831473, 69.77451504863467], [1.0625221188723761, 69.62036501429674], [0.9735245577831473, 69.46621475054769], [0.7955251095668273, 69.46621475054769], [0.7065267455387348, 69.62036501429674]]
E14000946|[[0.7065267455387348, 69.26436690441649], [0.7955251095668273, 69.41851872488368], [0.9735245577831473, 69.41851872488368], [1.0625221188723761, 69.26436690441649], [0.9735245577831473, 69.11021654234843], [0.7955251095668273, 69.11021654234843], [0.7065267455387348, 69.26436690441649]]
E14000734|[[0.7065267455387348, 68.90837148192342], [0.7955251095668273, 69.06252061500331], [0.9735245577831473, 69.06252061500331], [1.0625221188723761, 68.90837148192342], [0.9735245577831473, 68.75421817028395], [0.7955251095668273, 68.75421817028395], [0.7065267455387348, 68.90837148192342]]
E14000900|[[0.7065267455387348, 68.5523733228836], [0.7955251095668273, 68.70652529082929], [0.9735245577831473, 68.70652529082929], [1.0625221188723761, 68.5523733228836], [0.9735245577831473, 68.39822145325667], [0.7955251095668273, 68.39822145325667], [0.7065267455387348, 68.5523733228836]]
E14000751|[[0.7065267455387348, 68.19637934240295], [0.7955251095668273, 68.35052696792425], [0.9735245577831473, 68.35052696792425], [1.0625221188723761, 68.19637934240295], [0.9735245577831473, 68.04222473622953], [0.7955251095668273, 68.04222473622953], [0.7065267455387348, 68.19637934240295]]
E14000657|[[0.7065267455387348, 67.84037979051001], [0.7955251095668273, 67.99453154543117], [0.9735245577831473, 67.99453154543117], [1.0625221188723761, 67.84037979051001], [0.9735245577831473, 67.68622926457674], [0.7955251095668273, 67.68622926457674], [0.7065267455387348, 67.84037979051001]]
E14000696|[[0.7065267455387348, 67.48438297516371], [0.7955251095668273, 67.6385333863915], [0.9735245577831473, 67.6385333863915], [1.0625221188723761, 67.48438297516371], [0.9735245577831473, 67.33023089251255], [0.7955251095668273, 67.33023089251255], [0.7065267455387348, 67.48438297516371]]
E14000558|[[0.7065267455387348, 67.12838620897713], [0.7955251095668273, 67.28253812776336], [0.9735245577831473, 67.28253812776336], [1.0625221188723761, 67.12838620897713], [0.9735245577831473, 66.97423579774932], [0.7955251095668273, 66.97423579774932], [0.7065267455387348, 67.12838620897713]]
E14000659|[[0.7065267455387348, 66.77238932808493], [0.7955251095668273, 66.92653985401776], [0.9735245577831473, 66.92653985401776], [1.0625221188723761, 66.77238932808493], [0.9735245577831473, 66.61823731097951], [0.7955251095668273, 66.61823731097951], [0.7065267455387348, 66.77238932808493]]
E14001004|[[0.7065267455387348, 66.4163940202972], [0.7955251095668273, 66.57054443152471], [0.9735245577831473, 66.57054443152471], [1.0625221188723761, 66.4163940202972], [0.9735245577831473, 66.2622417737807], [0.7955251095668273, 66.2622417737807], [0.7065267455387348, 66.4163940202972]]
E14000557|[[0.7065267455387348, 66.0603955335271], [0.7955251095668273, 66.21454622332543], [0.9735245577831473, 66.21454622332543], [1.0625221188723761, 66.0603955335271], [0.9735245577831473, 65.90624366390045], [0.7955251095668273, 65.90624366390045], [0.7065267455387348, 66.0603955335271]]
E14000816|[[0.4039281161747733, 70.154360491307], [0.4929302327129617, 70.30851090253465], [0.6709262397628091, 70.30851090253465], [0.7599283890740154, 70.154360491307], [0.6709262397628091, 70.00020845781529], [0.4929302327129617, 70.00020845781529], [0.4039281161747733, 70.154360491307]]
E14000613|[[0.4039281161747733, 69.79836216840198], [0.4929302327129617, 69.9525127434947], [0.6709262397628091, 69.9525127434947], [0.7599283890740154, 69.79836216840198], [0.6709262397628091, 69.64421319918716], [0.4929302327129617, 69.64421319918716], [0.4039281161747733, 69.79836216840198]]
E14000590|[[0.4039281161747733, 69.44236684422809], [0.4929302327129617, 69.59651741932052], [0.6709262397628091, 69.59651741932052], [0.7599283890740154, 69.44236684422809], [0.6709262397628091, 69.28821481073622], [0.4929302327129617, 69.28821481073622], [0.4039281161747733, 69.44236684422809]]
E14000644|[[0.4039281161747733, 69.08636847216376], [0.4929302327129617, 69.24051921112124], [0.6709262397628091, 69.24051921112124], [0.7599283890740154, 69.08636847216376], [0.6709262397628091, 68.93221665169641], [0.4929302327129617, 68.93221665169641], [0.4039281161747733, 69.08636847216376]]
E14000759|[[0.4039281161747733, 68.73037300051082], [0.4929302327129617, 68.88452508316225], [0.6709262397628091, 68.88452508316225], [0.7599283890740154, 68.73037300051082], [0.6709262397628091, 68.57622118004362], [0.4929302327129617, 68.57622118004362], [0.4039281161747733, 68.73037300051082]]
E14000540|[[0.4039281161747733, 68.37437489063058], [0.4929302327129617, 68.52852551488274], [0.6709262397628091, 68.52852551488274], [0.7599283890740154, 68.37437489063058], [0.6709262397628091, 68.22022302100393], [0.4929302327129617, 68.22022302100393], [0.4039281161747733, 68.37437489063058]]
E14000679|[[0.4039281161747733, 68.01837940259148], [0.4929302327129617, 68.17252874869617], [0.6709262397628091, 68.17252874869617], [0.7599283890740154, 68.01837940259148], [0.6709262397628091, 67.86422754935114], [0.4929302327129617, 67.86422754935114], [0.4039281161747733, 68.01837940259148]]
E14000718|[[0.4039281161747733, 67.66238124355151], [0.4929302327129617, 67.81653193334985], [0.6709262397628091, 67.81653193334985], [0.7599283890740154, 67.66238124355151], [0.6709262397628091, 67.50822937392488], [0.4929302327129617, 67.50822937392488], [0.4039281161747733, 67.66238124355151]]
E14000690|[[0.4039281161747733, 67.30638582105846], [0.4929302327129617, 67.46053516716313], [0.6709262397628091, 67.46053516716313], [0.7599283890740154, 67.30638582105846], [0.6709262397628091, 67.15223406613714], [0.4929302327129617, 67.15223406613714], [0.4039281161747733, 67.30638582105846]]
E14000869|[[0.4039281161747733, 66.95038766201863], [0.4929302327129617, 67.10453941693993], [0.6709262397628091, 67.10453941693993], [0.7599283890740154, 66.95038766201863], [0.6709262397628091, 66.79623585793802], [0.4929302327129617, 66.79623585793802], [0.4039281161747733, 66.95038766201863]]
E14001023|[[0.4039281161747733, 66.59439235423103], [0.4929302327129617, 66.74854212638473], [0.6709262397628091, 66.74854212638473], [0.7599283890740154, 66.59439235423103], [0.6709262397628091, 66.44024036989865], [0.4929302327129617, 66.44024036989865], [0.4039281161747733, 66.59439235423103]]
E14000684|[[0.4039281161747733, 66.2383940804856], [0.4929302327129617, 66.39254599927197], [0.6709262397628091, 66.39254599927197], [0.7599283890740154, 66.2383940804856], [0.6709262397628091, 66.0842422108588], [0.4929302327129617, 66.0842422108588], [0.4039281161747733, 66.2383940804856]]
E14000952|[[0.1013307813448715, 70.33235871053523], [0.19033268485847163, 70.48650799109402], [0.36832793812900316, 70.48650799109402], [0.4573261382920155, 70.33235871053523], [0.36832793812900316, 70.17820689006804], [0.19033268485847163, 70.17820689006804], [0.1013307813448715, 70.33235871053523]]
E14001034|[[0.1013307813448715, 69.97636064981444], [0.19033268485847163, 70.13051247028163], [0.36832793812900316, 70.13051247028163], [0.4573261382920155, 69.97636064981444], [0.36832793812900316, 69.82221017304104], [0.19033268485847163, 69.82221017304104], [0.1013307813448715, 69.97636064981444]]
E14001045|[[0.1013307813448715, 69.62036501429674], [0.19033268485847163, 69.77451504863467], [0.36832793812900316, 69.77451504863467], [0.4573261382920155, 69.62036501429674], [0.36832793812900316, 69.46621475054769], [0.19033268485847163, 69.46621475054769], [0.1013307813448715, 69.62036501429674]]
E14000628|[[0.1013307813448715, 69.26436690441649], [0.19033268485847163, 69.41851872488368], [0.36832793812900316, 69.41851872488368], [0.4573261382920155, 69.26436690441649], [0.36832793812900316, 69.11021654234843], [0.19033268485847163, 69.11021654234843], [0.1013307813448715, 69.26436690441649]]
E14000634|[[0.1013307813448715, 68.90837148192342], [0.19033268485847163, 69.06252061500331], [0.36832793812900316, 69.06252061500331], [0.4573261382920155, 68.90837148192342], [0.36832793812900316, 68.75421817028395], [0.19033268485847163, 68.75421817028395], [0.1013307813448715, 68.90837148192342]]
E14000760|[[0.1013307813448715, 68.5523733228836], [0.19033268485847163, 68.70652529082929], [0.36832793812900316, 68.70652529082929], [0.4573261382920155, 68.5523733228836], [0.36832793812900316, 68.39822145325667], [0.19033268485847163, 68.39822145325667], [0.1013307813448715, 68.5523733228836]]
E14001032|[[0.1013307813448715, 68.19637934240295], [0.19033268485847163, 68.35052696792425], [0.36832793812900316, 68.35052696792425], [0.4573261382920155, 68.19637934240295], [0.36832793812900316, 68.04222473622953], [0.19033268485847163, 68.04222473622953], [0.1013307813448715, 68.19637934240295]]
E14000882|[[0.1013307813448715, 67.84037979051001], [0.19033268485847163, 67.99453154543117], [0.36832793812900316, 67.99453154543117], [0.4573261382920155, 67.84037979051001], [0.36832793812900316, 67.68622926457674], [0.19033268485847163, 67.68622926457674], [0.1013307813448715, 67.84037979051001]]
E14000789|[[0.1013307813448715, 67.48438297516371], [0.19033268485847163, 67.6385333863915], [0.36832793812900316, 67.6385333863915], [0.4573261382920155, 67.48438297516371], [0.36832793812900316, 67.33023089251255], [0.19033268485847163, 67.33023089251255], [0.1013307813448715, 67.48438297516371]]
E14000787|[[0.1013307813448715, 67.12838620897713], [0.19033268485847163, 67.28253812776336], [0.36832793812900316, 67.28253812776336], [0.4573261382920155, 67.12838620897713], [0.36832793812900316, 66.97423579774932], [0.19033268485847163, 66.97423579774932], [0.1013307813448715, 67.12838620897713]]
E14000604|[[0.1013307813448715, 66.77238932808493], [0.19033268485847163, 66.92653985401776], [0.36832793812900316, 66.92653985401776], [0.4573261382920155, 66.77238932808493], [0.36832793812900316, 66.61823731097951], [0.19033268485847163, 66.61823731097951], [0.1013307813448715, 66.77238932808493]]
E14000817|[[0.1013307813448715, 66.4163940202972], [0.19033268485847163, 66.57054443152471], [0.36832793812900316, 66.57054443152471], [0.4573261382920155, 66.4163940202972], [0.36832793812900316, 66.2622417737807], [0.19033268485847163, 66.2622417737807], [0.1013307813448715, 66.4163940202972]]
E14000786|[[0.1013307813448715, 66.0603955335271], [0.19033268485847163, 66.21454622332543], [0.36832793812900316, 66.21454622332543], [0.4573261382920155, 66.0603955335271], [0.36832793812900316, 65.90624366390045], [0.19033268485847163, 65.90624366390045], [0.1013307813448715, 66.0603955335271]]
E14000643|[[-0.20126394803041125, 73.71432733384889], [-0.1122655348428106, 73.86847925263525], [0.06573050498005469, 73.86847925263525], [0.15473340807056055, 73.71432733384889], [0.06573050498005469, 73.56017669321014], [-0.1122655348428106, 73.56017669321014], [-0.20126394803041125, 73.71432733384889]]
E14000772|[[-0.20126394803041125, 73.35833200967473], [-0.1122655348428106, 73.51248378098246], [0.06573050498005469, 73.51248378098246], [0.15473340807056055, 73.35833200967473], [0.06573050498005469, 73.2041812707171], [-0.1122655348428106, 73.2041812707171], [-0.20126394803041125, 73.35833200967473]]
