gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_region,team_seed,team_slot
mens,2019-03-17,0,1,0.694966252,0.248646934,0.09198526,0.026796742,0.009047385,0.003478878,1,1,2084,Buffalo,85.74,West,6,48
mens,2019-03-17,0,1,0.786447979,0.308244649,0.055456329,0.021189876,0.007140051,0.002487882,1,1,344,Mississippi State,85.11,East,5,8
mens,2019-03-17,0,1,0.640227661,0.263693311,0.053497714,0.019349016,0.006303974,0.002349866,1,1,269,Marquette,84.41,West,5,40
mens,2019-03-17,0,1,0.633499193,0.185529987,0.078656488,0.025003347,0.007437319,0.002204663,1,1,2747,Wofford,84.38,Midwest,7,88
mens,2019-03-17,0,1,0.602978207,0.079560026,0.037674984,0.013096075,0.003840524,0.001305498,1,1,183,Syracuse,83.92,West,8,36
mens,2019-03-17,0,1,0.422173276,0.113816075,0.042538069,0.011136667,0.003141115,0.001031703,1,1,57,Florida,83.95,West,10,58
mens,2019-03-17,0,1,0.327181557,0.116970136,0.036446373,0.010599842,0.002977808,0.000837235,1,1,194,Ohio State,82.59,Midwest,11,82
mens,2019-03-17,0,1,0.529087523,0.062473829,0.028344385,0.00849249,0.002822743,0.000783332,1,1,201,Oklahoma,83.01,South,9,102
mens,2019-03-17,0,1,0.323098195,0.073558729,0.026239668,0.006412181,0.002360138,0.000724412,1,1,2294,Iowa,82.36,South,10,122
mens,2019-03-17,0,1,0.399386253,0.188559936,0.026181271,0.006493741,0.001937321,0.000483544,1,1,2483,Oregon,82.64,South,12,106
mens,2019-03-17,0,1,0.366500807,0.079082807,0.027712217,0.007234187,0.001861258,0.000482354,1,1,2550,Seton Hall,82.2,Midwest,10,90
mens,2019-03-17,0,1,0.247328645,0.078327583,0.020556445,0.004720205,0.001641347,0.000476214,1,1,2608,Saint Mary's (CA),83.58,South,11,114
mens,2019-03-17,0,1,0.505994712,0.06773532,0.022125786,0.007009077,0.001784128,0.000457792,1,1,328,Utah State,82.26,Midwest,8,68
mens,2019-03-17,0,1,0.470912477,0.051603653,0.022253211,0.006280413,0.001813964,0.000438645,1,1,145,Mississippi,81.64,South,8,100
mens,2019-03-17,0,1,0.494005288,0.065142172,0.020542703,0.006295407,0.001580508,0.000400383,1,1,264,Washington,82.55,Midwest,9,70
mens,2019-03-17,0,1,0.504988959,0.046044131,0.017880508,0.006229458,0.001527593,0.000398892,1,1,2670,Virginia Commonwealth,81.7,East,8,4
mens,2019-03-17,0,1,0.322401287,0.060590913,0.021827579,0.003353566,0.001054697,0.000345293,1,1,135,Minnesota,80.84,East,10,26
mens,2019-03-17,0,1,0.359772339,0.111988913,0.017067583,0.004863188,0.001156367,0.000326298,1,1,93,Murray State,81.29,West,12,42
mens,2019-03-17,1,0.575380643,0.216725436,0.088893385,0.021064823,0.003716571,0.000991165,0.000279404,0,1,2057,Belmont,80.67,East,11a,18
mens,2019-03-17,1,0.533070936,0.183091982,0.047561326,0.016567117,0.004555863,0.001025864,0.000275656,0,1,9,Arizona State,80.87,West,11a,50
mens,2019-03-17,0,1,0.495011041,0.044527306,0.014591605,0.004307716,0.001047348,0.000271359,1,1,2116,Central Florida,81.72,East,9,6
mens,2019-03-17,0,1,0.225787137,0.09046318,0.01853298,0.005270449,0.001152597,0.000256792,1,1,166,New Mexico State,80.91,Midwest,12,74
mens,2019-03-17,0,1,0.397021793,0.037142127,0.014375603,0.003987449,0.000821656,0.000203787,1,1,239,Baylor,80.76,West,9,38
mens,2019-03-17,1,0.424619357,0.136818511,0.049521727,0.012512102,0.002353396,0.000542197,0.000133723,0,1,218,Temple,79.39,East,11b,19
mens,2019-03-17,0,1,0.209708057,0.087916679,0.00941812,0.001965918,0.000352947,7.72E-05,1,1,261,Vermont,79.29,West,13,46
mens,2019-03-17,1,0.466929064,0.121941765,0.02463332,0.005300612,0.000926165,0.000189763,4.68E-05,0,1,2599,St. John's (NY),78.84,West,11b,51
mens,2019-03-17,0,1,0.174784014,0.035289221,0.005376261,0.001170888,0.000211488,3.94E-05,1,1,111,Northeastern,78.58,Midwest,13,78
mens,2019-03-17,0,1,0.213552021,0.041506648,0.004370536,0.001085401,0.000196653,3.89E-05,1,1,2335,Liberty,78.02,East,12,10
mens,2019-03-17,0,1,0.233375666,0.071177114,0.006111064,0.000971059,0.00019088,3.17E-05,1,1,300,UC-Irvine,78.36,South,13,110
mens,2019-03-17,0,1,0.155832874,0.040985552,0.006486315,0.000766187,0.000121556,2.12E-05,1,1,43,Yale,77.11,East,14,22
mens,2019-03-17,0,1,0.093947733,0.02636773,0.004168041,0.000545223,8.72E-05,1.71E-05,1,1,94,Northern Kentucky,77.27,West,14,54
mens,2019-03-17,0,1,0.111534345,0.033187339,0.002493302,0.000460961,8.25E-05,1.61E-05,1,1,139,Saint Louis,77.01,East,13,14
mens,2019-03-17,0,1,0.119045659,0.024981485,0.003621364,0.000479721,8.84E-05,1.38E-05,1,1,295,Old Dominion,76.98,South,14,118
